window_id,cost,migrations,attacker_count,cohabitation_time_cumulative,cohabitation_malicious_vm_count,server_total_risk,vm_average_risk,cpu_utilization_avg,memory_utilization_avg,migrations_cumulative,active_servers_count,cpu_utilization_instant,memory_utilization_instant,cluster_risk,power_consumption,migration_cost,resource_contention
138,10.59050287374029,0,44,16667,41,5737.0,0.11474000000000001,56.0301928057554,232.86450431654683,140,20,70.2095,235.10209999999998,11.474,20.0,0.0,0.0045143687014467275
139,10.274822557093826,5,44,16792,42,5277.0,0.10554000000000001,56.00237428571429,232.88056357142864,145,20,52.1356,235.11280000000002,10.554,20.0,0.52234,0.004942785469121345
140,10.322515605993972,0,44,16917,42,5402.0,0.10804,55.9756170212766,232.89640141843975,145,20,52.22959999999999,235.11370000000002,10.804,20.0,0.0,0.004578029969861935
141,10.422364008356396,0,44,17042,42,5527.0,0.11054,55.89061056338028,232.9121225352113,145,20,43.9047,235.1288,11.054,20.0,0.0,0.0038200417819773394
142,10.522603394253936,0,44,17167,42,5652.0,0.11304,55.802958041958036,232.9275461538462,145,20,43.356300000000005,235.1177,11.304,20.0,0.0,0.005016971269680648
143,10.55190270553717,2,44,17292,40,5662.0,0.11324,55.86708611111111,232.94260069444448,147,20,65.03739999999999,235.09539999999998,11.324,20.0,0.2095,0.006763527685849779
144,10.630843337736085,0,44,17417,40,5787.0,0.11574,55.96118137931035,232.95749034482765,147,20,69.51090000000002,235.10159999999996,11.574,20.0,0.0,0.0062166886804239764
145,10.730899253067639,0,44,17542,40,5912.0,0.11824,56.07537465753425,232.9722479452055,147,20,72.63340000000001,235.11209999999997,11.824,20.0,0.0,0.0064962653381894185
146,10.83077453729177,0,44,17667,40,6037.0,0.12074,56.13251088435374,232.98685374149662,147,20,64.4744,235.11929999999998,12.074,20.0,0.0,0.005872686458853161
147,10.930543722367025,0,44,17792,40,6162.0,0.12324,56.07537027027027,233.00119054054056,147,20,47.67569999999999,235.10869999999994,12.324,20.0,0.0,0.004718611835122897
148,10.664925067751593,1,44,17917,40,5817.0,0.11634,56.0275899328859,233.01537986577185,148,20,48.956100000000006,235.11540000000005,11.634,20.0,0.1043202,0.004465238757966007
149,10.754572542568692,0,44,18042,40,5942.0,0.11884,55.998175333333336,233.02937933333334,148,20,51.6154,235.1153,11.884,20.0,0.0,0.004862712843454769
150,10.639473403420931,4,44,18164,39,5746.0,0.11492000000000001,55.94737814569536,233.0431165562914,152,20,48.3278,235.10369999999998,11.492,20.0,0.41868,0.0040270171046550614
151,10.695400249674172,0,44,18286,39,5868.0,0.11736,55.943422368421054,233.05669210526315,152,20,55.3461,235.1066,11.736,20.0,0.0,0.005001248370853436
